bank,date_dt,mean_stance,disagreement,disagreement_pred,bnd_uncertainty,sign_conflict_rate,n_turns,is_test,model_choice_spread
ECB,2022-12-15,0.511904761904762,0.08895399946428072,0.07396940317098036,0.4186660392977419,0.0,14,0,0.04908459078116262
ECB,2023-02-02,0.6388888888888888,0.12261704339925265,0.037684171331879075,0.46375683469107215,0.0,12,0,0.07856742013183861
ECB,2023-03-16,0.2638888888888889,0.10962391981933568,0.09227862321874798,0.6084440713607285,0.0,12,0,0.07479395565464589
ECB,2023-05-04,0.5,0.2238287732537174,0.08420764577544529,0.5353528318291584,0.09090909090909091,11,0,0.15525682978726663
ECB,2023-06-15,0.5909090909090909,0.21594084591075183,0.09232148423888238,0.649408228996469,0.09090909090909091,11,0,0.15525682978726665
ECB,2023-07-27,0.2692307692307692,0.11608604679430026,0.07761559735304628,0.6188301736431643,0.07692307692307693,13,0,0.08600261451922268
ECB,2023-09-14,0.3333333333333333,0.23623287517007138,0.07010402340193057,0.6429835740872539,0.0,12,0,0.06804138174397717
ECB,2023-10-26,0.05128205128205129,0.20678192569861487,0.06584549878337169,0.543021471224037,0.0,13,0,0.0850416612911641
ECB,2023-12-14,0.4166666666666667,0.3646941723469989,0.07710077477139711,0.617608173067286,0.0,6,0,0.24999999999999997
ECB,2024-01-25,0.08333333333333333,0.237534930501827,0.07379617006059899,0.6582841494817911,0.1,10,0,0.1674979270186815
ECB,2024-03-07,-0.0303030303030303,0.19632450498845683,0.11251620502698549,0.7614353386109621,0.0,11,0,0.08570991287109667
ECB,2024-04-11,0.01851851851851851,0.20704333124998053,0.08670201478078449,0.8329121375610092,0.0,9,0,0.09972527420619451
ECB,2024-06-06,0.018518518518518507,0.18837602865994674,0.07443289485565345,0.638633661237257,0.2222222222222222,9,0,0.07635380788180852
ECB,2024-07-18,0.14814814814814814,0.10475656017578482,0.08763493344384443,0.7033725720195106,0.0,9,0,0.08281733249999221
ECB,2024-09-12,-0.14583333333333331,0.10551031463012459,0.10344080158735887,0.5551050758040718,0.0,8,0,0.04658474953124561
ECB,2024-10-17,0.04545454545454546,0.10163945352271772,0.07965334772689225,0.5149242487428961,0.0,11,0,0.06943296507508848
ECB,2024-12-12,-0.10606060606060606,0.062471297357843354,0.044823648972255076,0.5247817246180189,0.09090909090909091,11,0,0.06247129735784335
ECB,2025-01-30,-0.20833333333333334,0.16801031463012459,0.052038191908073475,0.6419457462915618,0.0,8,0,0.05892556509887896
ECB,2025-03-06,-0.16666666666666666,0.09316949906249125,0.05884896924760681,0.7219991285335805,0.0,8,0,0.05892556509887896
ECB,2025-04-17,-0.1875,0.10551031463012459,0.0390920725804262,0.6560515188100777,0.0,8,0,0.0625
ECB,2025-06-05,-0.1,0.12167605132909616,0.07403330134099331,0.6451901959884841,0.0,10,0,0.05773502691896258
ECB,2025-07-24,0.0,0.0,0.0436691265879469,0.7097398292514137,0.0,8,0,0.0
ECB,2025-09-11,-0.037037037037037035,0.05237828008789241,0.05608625122718928,0.7466766382146977,0.0,9,0,0.05237828008789241
ECB,2025-10-30,0.0,0.0,0.053892661518679046,0.4881746488436837,0.0,11,0,0.0
ECB,2025-12-18,0.07407407407407407,0.05237828008789241,0.0830490991448672,0.44062153226584755,0.0,9,0,0.05237828008789241
Fed,2015-03-18,-0.023809523809523815,0.07568754807337746,0.09394708526052824,0.5698793025510402,0.0,21,0,0.023809523809523808
Fed,2015-06-17,0.11764705882352941,0.16240690877091624,0.07898434636908294,0.5805916334547294,0.058823529411764705,17,0,0.10739657990297374
Fed,2015-09-17,-0.10185185185185185,0.34715195961472856,0.08039387627237983,0.6432448390955421,0.2777777777777778,18,0,0.1130236631086454
Fed,2015-12-16,-0.013888888888888886,0.20475183982078574,0.07108451018270284,0.6652779159175732,0.125,24,0,0.09521742500557005
Fed,2016-03-16,0.058823529411764705,0.0790636774729998,0.10704308326814056,0.5616396255731646,0.0,17,0,0.03396178054056622
Fed,2016-06-15,0.07843137254901962,0.2019718250930543,0.09601038690278796,0.7260370820457925,0.0,17,1,0.0277296776935901
Fed,2016-09-21,0.09523809523809523,0.21173624349981357,0.0815875572972438,0.5096829627060573,0.0,21,0,0.038880789567986955
Fed,2016-12-14,0.007575757575757575,0.062394454374998416,0.06483160805701849,0.48877588038923603,0.0,22,0,0.031235648678921674
Fed,2017-03-15,0.05555555555555556,0.14807608668155314,0.08883096662100982,0.5938877338399986,0.047619047619047616,21,0,0.04273940323122622
Fed,2017-06-14,0.007936507936507934,0.16820226433919,0.10712757016601329,0.5007207089145721,0.0,21,0,0.05081844632883213
Fed,2017-09-20,0.03125,0.11168072241394125,0.12034134321462867,0.49243792726393554,0.0,16,0,0.047735163489123336
