STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop18,Classification of individual consumption by purpose (COICOP) - 2018,release,Release,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2018-12,,80.74,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-01,,79.91,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-02,,80.16,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-03,,80.97,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-04,,81.55,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-05,,81.66,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-06,,81.79,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-07,,81.42,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-08,,81.53,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-09,,81.70,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-10,,81.82,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-11,,81.56,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2019-12,,81.82,,,,,
